2026-04-28 16:32:10  [LOG] 2026-04-28T16:32:10.156585 | grand=39407.16 | mofet=33599.16 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 103, 'routine_2024': 150, 'fighter_2024': 100, 'routine_2025': 200, 'fighter_2025': 103, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 303, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 33599.16, 'tax_total': 5808, 'grand_total': 39407.16}
2026-04-28 16:32:14  [LOG] 2026-04-28T16:32:14.256330 | grand=18074.36 | mofet=12266.36 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 145, 'routine_2024': 0, 'fighter_2024': 105, 'routine_2025': 2, 'fighter_2025': 92, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 12266.36, 'tax_total': 5808, 'grand_total': 18074.36}
2026-04-28 16:32:15  [LOG] 2026-04-28T16:32:15.603218 | grand=18874.34 | mofet=13066.34 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 42, 'routine_2024': 2, 'fighter_2024': 47, 'routine_2025': 1, 'fighter_2025': 98, 'gamar_2025': 0, 'other_2025': 0, 'commander': 1, 'commander_days': 99, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 13066.34, 'tax_total': 5808, 'grand_total': 18874.34}
2026-04-28 16:32:17  [LOG] 2026-04-28T16:32:17.027250 | grand=12607.83 | mofet=6799.83 | tax=5808 | inputs={'routine_2023': 10, 'fighter_2023': 70, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 51, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 6799.83, 'tax_total': 5808, 'grand_total': 12607.83}
2026-04-28 16:32:17  [LOG] 2026-04-28T16:32:17.438994 | grand=5037.28 | mofet=2133.28 | tax=2904 | inputs={'routine_2023': 0, 'fighter_2023': 96, 'routine_2024': 0, 'fighter_2024': 72, 'routine_2025': 1, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 15, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 16, 'mofet_total': 2133.28, 'tax_total': 2904, 'grand_total': 5037.28}
2026-04-28 16:32:21  [LOG] 2026-04-28T16:32:21.781431 | grand=21034.57 | mofet=15226.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 154, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 313, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 15226.57, 'tax_total': 5808, 'grand_total': 21034.57}
2026-04-28 16:32:22  [LOG] 2026-04-28T16:32:22.371782 | grand=19274.33 | mofet=13466.33 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 42, 'fighter_2025': 90, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 13466.33, 'tax_total': 5808, 'grand_total': 19274.33}
2026-04-28 16:32:25  [LOG] 2026-04-28T16:32:25.086443 | grand=11954.57 | mofet=6146.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 62, 'routine_2024': 0, 'fighter_2024': 50, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 36, 'other_2025': 32, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 6146.57, 'tax_total': 5808, 'grand_total': 11954.57}
2026-04-28 16:32:26  [LOG] 2026-04-28T16:32:26.557759 | grand=10794.57 | mofet=4986.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 88, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 4986.57, 'tax_total': 5808, 'grand_total': 10794.57}
2026-04-28 16:32:28  [LOG] 2026-04-28T16:32:28.700910 | grand=8941.26 | mofet=3133.26 | tax=5808 | inputs={'routine_2023': 20, 'fighter_2023': 90, 'routine_2024': 10, 'fighter_2024': 43, 'routine_2025': 26, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 27, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 3133.26, 'tax_total': 5808, 'grand_total': 8941.26}
