2026-04-28 17:07:22  [LOG] 2026-04-28T17:07:22.473132 | grand=54473.45 | mofet=48665.45 | tax=5808 | inputs={'routine_2023': 5, 'fighter_2023': 61, 'routine_2024': 0, 'fighter_2024': 100, 'routine_2025': 0, 'fighter_2025': 365, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 48665.45, 'tax_total': 5808, 'grand_total': 54473.45}
2026-04-28 17:07:23  [LOG] 2026-04-28T17:07:23.182596 | grand=14074.46 | mofet=8266.46 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 93, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 8266.46, 'tax_total': 5808, 'grand_total': 14074.46}
2026-04-28 17:07:23  [LOG] 2026-04-28T17:07:23.246134 | grand=12074.51 | mofet=6266.51 | tax=5808 | inputs={'routine_2023': 24.5, 'fighter_2023': 72, 'routine_2024': 4, 'fighter_2024': 73, 'routine_2025': 12, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 27, 'commander': 0, 'commander_days': 0, 'age_exempt': 1, 'age_exempt_days': 39, 'mofet_total': 6266.51, 'tax_total': 5808, 'grand_total': 12074.51}
2026-04-28 17:07:23  [LOG] 2026-04-28T17:07:23.654211 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 365, 'commander': 1, 'commander_days': 365, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
2026-04-28 17:07:24  [LOG] 2026-04-28T17:07:24.200922 | grand=50340.22 | mofet=44532.22 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 365, 'commander': 1, 'commander_days': 365, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 44532.22, 'tax_total': 5808, 'grand_total': 50340.22}
2026-04-28 17:07:26  [LOG] 2026-04-28T17:07:26.747460 | grand=21874.57 | mofet=16066.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 365, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 16066.57, 'tax_total': 5808, 'grand_total': 21874.57}
2026-04-28 17:07:27  [LOG] 2026-04-28T17:07:27.965646 | grand=22340.92 | mofet=16532.92 | tax=5808 | inputs={'routine_2023': 14, 'fighter_2023': 73, 'routine_2024': 2, 'fighter_2024': 150, 'routine_2025': 0, 'fighter_2025': 124, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 16532.92, 'tax_total': 5808, 'grand_total': 22340.92}
2026-04-28 17:07:30  [LOG] 2026-04-28T17:07:30.817225 | grand=11114.57 | mofet=5306.57 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 0, 'gamar_2025': 84, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 5306.57, 'tax_total': 5808, 'grand_total': 11114.57}
2026-04-28 17:07:30  [LOG] 2026-04-28T17:07:30.985335 | grand=45407.01 | mofet=39599.01 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 328, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 39599.01, 'tax_total': 5808, 'grand_total': 45407.01}
2026-04-28 17:07:33  [LOG] 2026-04-28T17:07:33.429014 | grand=19007.67 | mofet=13199.67 | tax=5808 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 0, 'fighter_2025': 130, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 13199.67, 'tax_total': 5808, 'grand_total': 19007.67}
2026-04-28 17:07:34  [LOG] 2026-04-28T17:07:34.815843 | grand=15674.42 | mofet=9866.42 | tax=5808 | inputs={'routine_2023': 17, 'fighter_2023': 81, 'routine_2024': 2, 'fighter_2024': 105, 'routine_2025': 0, 'fighter_2025': 74, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 9866.42, 'tax_total': 5808, 'grand_total': 15674.42}
2026-04-28 17:07:36  [LOG] 2026-04-28T17:07:36.328148 | grand=4356 | mofet=0 | tax=4356 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 23, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 4356, 'grand_total': 4356}
2026-04-28 17:07:36  [LOG] 2026-04-28T17:07:36.888781 | grand=2904 | mofet=0 | tax=2904 | inputs={'routine_2023': 0, 'fighter_2023': 0, 'routine_2024': 0, 'fighter_2024': 0, 'routine_2025': 16, 'fighter_2025': 0, 'gamar_2025': 0, 'other_2025': 0, 'commander': 0, 'commander_days': 0, 'age_exempt': 0, 'age_exempt_days': 0, 'mofet_total': 0, 'tax_total': 2904, 'grand_total': 2904}
